,A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality,Total
0,0.0,-3.970048523,-2.512336381,5.346329613,-1.012008712,1.844900361,0.329839797,-0.491590483,good,0.026676155000000534
1,336.0,-3.077603673,-3.069404205,5.094382126,2.112990558,2.133635175,-1.193377992,-1.956538847,good,2.0006219889999994
2,1212.0,-1.973276897,-3.830499332,5.612644416,2.101756234,2.53470734,0.223946461,1.643451555,good,4.669278222000001
3,1749.0,-2.065320261,-3.222701167,5.54296888,1.82945098,1.571516982,-0.145645501,-0.135212578,good,3.510269913
4,1919.0,-0.694597469,-5.343076463,5.8623561,1.162238433,2.294458014,1.640538073,0.896418974,good,4.9219166880000005
5,2303.0,-3.08237622,-3.36791588,5.069020326,-1.427145063,-0.116889567,1.061304956,-1.718581873,good,-1.8640014480000002
6,2691.0,-4.122995743,-4.098127683,6.374915513,0.467545479,2.835062913,-0.33644327,-1.244418116,good,1.119957208999999
7,2824.0,-0.740123171,-3.437991017,5.079820147,1.375173807,2.612484532,-0.454033638,-2.678681961,good,4.43533066
8,2908.0,-2.06053441,-4.255527986,5.669086632,0.970850075,0.330087838,1.532844721,-0.13201002,good,2.18680687
9,3244.0,-2.042188947,-3.259705692,5.019020042,-1.807715157,0.705932295,1.798553071,-1.88350261,good,0.4138956119999997
